,Żułowska
295,Czesława Miłosza
296,Czesława Niemena
297,Czołgistów
298,Czorsztyńska
299,Czwartaków
300,Czyżówka
301,Czyżyńska
302,Czyżyków
303,Czysta
304,Długa
305,Dąbrówki
306,Dąbrowa
307,Dąbska
308,Dajwór
309,Daleka
310,Daliowa
311,Danalówka
312,Daniela Chodowieckiego
313,Danka
314,Danusi Jurandówny
315,Dębnicka
316,Dęboroga
317,Dębowa
318,Dekarzy
319,Dembowskiego
320,Deotymy
321,Dereniowa
322,Deszczowa
323,Dietla
324,Do Cegielni
325,Do Fortu
326,Do Luboni
327,Do Obserwatorium
328,Do Przystani
329,Do Sanktuarium Bożego Miłosierdzia
330,Do Wilgi
331,Do Wisły
332,Dożynkowa
333,Dobczycka
334,Dobiesława Kurozwęckiego
335,Dobra
336,Dobrego Pasterza
337,Doktora Józefa Babińskiego
338,Doktora Jana Piltza
339,Doktora Judyma
340,Doktora Owcy-Orwicza
341,Doktora Tadeusza Kudlińskiego
342,Dolina
343,Dolna
344,Dolnomłyńska
345,Dolnych Młynów
346,Dominikańska
347,Dominikanów
348,Domki
349,Domowa
350,Dróżka
351,Dróżnicka
352,Drewniana
353,Drożdżowa
354,Drożyna
355,Drożyska
356,droga Do Zamku
357,Droga nad Białuchą
358,Droga Rokadowa
359,Drużbackiej
360,Druhny Hanki
361,Drukarska
362,Druskiennicka
363,Duża Góra
364,Duchacka
365,Dukatów
366,Dworcowa
367,Dworna
368,Dworska
369,Dworski Ogród
370,Dymarek
371,Dymnik
372,Działkowa
373,Dziekanowicka
374,Dzielna
375,Dziewanny
376,Dziewiarzy
377,Dzikiej Róży
378,Edmunda Biernackiego
379,Edmunda Krzymuskiego
380,Edmunda Neussera
381,Edwarda Bzymka-Strzałkowskiego
382,Edwarda Heila
383,Edwarda Rydza-Śmigłego
384,Elżbiety Łokietkówny
385,Elizy Orzeszkowej
386,Emaus
387,Emila Dziedzica
388,Emila Godlewskiego
389,Emiliana Czyrniańskiego
390,Emilii Plater
391,Emilii Sczanieckiej
392,Erazma i Stanisława Fabijańskich
393,Erazma Jerzmanowskiego
394,Ernesta Cieślewskiego
395,Ernesta Solvaya
396,Estery
397,Estońska
398,Estreicherów
399,Eugeniusza Eibischa
400,Eugeniusza Kwiatkowskiego
401,Eugeniusza Romera
402,Fałęcka
403,Fabryczna
404,Facimiech
405,Falista
406,Falowa
407,Familijna
408,Farmaceutów
409,Fatimska
410,Felicjanek
411,Feliksa Jasieńskiego
412,Feliksa Konecznego
413,Feliksa Kopery
414,Feliksa Księżarskiego
415,Feliksa Radwańskiego
416,Feliksa Wrobela
417,Ferdynanda Kurasia
418,Filarecka
419,Filipa Eisenberga
420,Filipa Kallimacha
421,Filipa Pokutyńskiego
422,Filtrowa
423,Fiołkowa
424,Flisacka
425,Floriańska
426,Floriana Kotowskiego
427,Forteczna
428,Fosa
429,Franciszka Bielaka
430,Franciszka Bujaka
431,Franciszka Hynka
432,Franciszka Hypty
433,Franciszka Kłaka
434,Franciszka Kajty
435,Franciszka Karpińskiego
436,Franciszka Kniaźnina
437,Franciszka Kowalskiego
438,Franciszka Maryewskiego
439,Franciszka Niepokólczyckiego
440,Franciszka Pększyca-Grudzińskiego
441,Franciszka Ptaka
442,Franciszka Sapalskiego
443,Franciszka Stefczyka
444,Franciszkańska
